importer,year,value_usd,mfn_avg_duty,best_avg_duty,mfn_line_count,mfn_nonadval_line,pref_line_count,exporter
Lesotho,2023.0,,5.73,5.73,492,,,US
Liberia,2024.0,,11.73,11.73,323,,,US
"Macao, China",2024.0,,0.0,0.0,431,,,US
Madagascar,2024.0,,11.48,11.48,316,5.0,,US
Malawi,2022.0,,10.2,10.2,461,,,US
Malaysia,2024.0,,4.34,4.34,896,,,US
Maldives,2023.0,,18.0,18.0,484,,,US
Mali,2024.0,,11.73,11.73,323,,,US
Mauritania,2023.0,,12.0,12.0,292,,,US
Mauritius,2024.0,,1.15,1.15,339,,,US
Mexico,2025.0,,4.32,4.32,557,2.0,,US
"Moldova, Republic of",2024.0,,5.62,5.62,500,,,US
Mongolia,2024.0,,4.72,4.72,305,,,US
Montenegro,2024.0,,0.95,0.95,503,,,US
Morocco,2024.0,,9.73,9.73,533,,,US
Myanmar,2024.0,,7.43,7.43,897,,,US
Namibia,2022.0,,5.38,5.38,474,,,US
Nepal,2023.0,,9.46,9.46,330,,,US
New Zealand,2024.0,,1.69,1.69,527,5.0,,US
Nicaragua,2024.0,,3.33,0.0,483,,137.0,US
Niger,2024.0,,11.73,11.73,323,,,US
Nigeria,2024.0,,11.73,11.73,323,,,US
North Macedonia,2025.0,,6.12,6.12,561,,,US
Norway,2024.0,,0.0,0.0,356,,,US
Oman,2024.0,,3.19,0.02,410,6.0,256.0,US
Pakistan,2022.0,41058605.0,13.15,13.15,498,4.0,,US
Panama,2024.0,,3.72,3.72,523,,,US
Paraguay,2024.0,,5.63,5.63,640,,,US
Peru,2022.0,,1.24,1.24,485,,,US
Philippines,2024.0,,3.12,3.12,896,,,US
Qatar,2024.0,,3.12,3.12,397,8.0,,US
Russian Federation,2021.0,,4.45,4.45,716,10.0,,US
Rwanda,2024.0,,11.31,11.31,305,,,US
Saint Lucia,2021.0,,8.32,8.32,303,,,US
Saint Vincent and the Grenadines,2020.0,,11.61,11.61,336,,,US
Samoa,2021.0,,13.51,13.51,270,,,US
"Saudi Arabia, Kingdom of",2024.0,,4.31,4.31,598,3.0,,US
Senegal,2023.0,,11.76,11.76,323,,,US
Seychelles,2024.0,,0.25,0.25,302,,,US
Sierra Leone,2024.0,,11.73,11.73,323,,,US
Singapore,2024.0,,0.0,0.0,896,,,US
South Africa,2024.0,,5.73,5.73,492,,,US
Sri Lanka,2022.0,,4.53,4.53,373,19.0,,US
Suriname,2024.0,,10.56,10.56,305,1.0,,US
Switzerland,2025.0,,0.0,0.0,296,,,US
Chinese Taipei,2024.0,,3.29,3.29,557,6.0,,US
Tanzania,2024.0,,11.76,11.76,305,,,US
Thailand,2024.0,,5.53,5.53,896,,,US
Togo,2024.0,,11.73,11.73,323,,,US
Tonga,2024.0,,8.6,8.6,271,,,US
Trinidad and Tobago,2023.0,128257504.0,7.35,7.35,304,,,US
Tunisia,2024.0,,21.41,21.41,994,,,US
Turkiye,2024.0,,5.37,5.37,634,17.0,,US
Uganda,2024.0,,12.61,12.61,305,,,US
Ukraine,2025.0,,3.32,3.32,711,,,US
United Arab Emirates,2020.0,1277547657.0,3.23,3.23,356,8.0,,US
United Kingdom,2024.0,,0.83,0.83,500,,,US
Uruguay,2024.0,,8.79,8.79,731,,,US
Vanuatu,2020.0,,10.14,10.14,279,,,US
"Venezuela, Bolivarian Republic of",2023.0,,12.48,12.48,698,,,US
Viet Nam,2023.0,,8.49,8.49,909,,,US
Zimbabwe,2021.0,,14.55,14.55,313,3.0,,US
ALL Available Markets,,38935522108.0,,,,,,China
Albania,2025.0,,2.46,2.46,490,,,China
Angola,2023.0,,5.84,5.84,271,,,China
Antigua and Barbuda,2022.0,,11.39,11.39,310,1.0,,China
Argentina,2024.0,,10.6,10.6,640,,,China
Armenia,2023.0,,4.33,4.33,"1,139",9.0,,China
Australia,2024.0,,2.06,0.0,371,,153.0,China
"Bahrain, Kingdom of",2024.0,,3.16,3.16,397,,,China
Bangladesh,2024.0,,14.84,14.3,419,,21.0,China
Barbados,2022.0,15845828.0,11.47,11.47,306,,,China
Belize,2025.0,,9.91,9.91,339,,,China
Benin,2024.0,,11.73,11.73,323,,,China
"Bolivia, Plurinational State of",2023.0,,7.92,7.92,483,,,China
Botswana,2023.0,,5.38,5.38,474,,,China
Brazil,2024.0,,10.92,10.92,643,,,China
Brunei Darussalam,2024.0,,0.05,0.05,896,,,China
Burkina Faso,2024.0,,11.73,11.73,323,,,China
Burundi,2024.0,,11.8,11.8,305,,,China
Cabo Verde,2023.0,,9.45,9.45,377,3.0,,China
Cambodia,2024.0,,12.91,12.91,896,,,China
Cameroon,2023.0,,17.48,17.48,298,,,China
Canada,2024.0,,1.15,1.15,420,,,China
Central African Republic,2023.0,,17.48,17.48,298,,,China
Chad,2023.0,,17.48,17.48,298,,,China
Chile,2024.0,,5.99,5.99,441,,,China
Colombia,2025.0,,2.48,2.48,501,,,China
Congo,2023.0,,17.48,17.48,298,,,China
Costa Rica,2024.0,,3.38,0.37,631,,462.0,China
Cote d'Ivoire,2023.0,,11.78,11.78,292,,,China
Cuba,2022.0,197751282.0,4.98,4.98,283,,,China
Dominican Republic,2024.0,,7.34,7.34,487,,,China
Ecuador,2024.0,,9.65,9.65,581,18.0,,China
El Salvador,2024.0,,3.33,3.33,447,,,China
Eswatini,2022.0,,5.38,5.38,474,,,China
European Union,2024.0,,1.95,1.95,500,,,China
Fiji,2023.0,,4.49,4.49,332,1.0,,China
Gabon,2023.0,,17.48,17.48,298,,,China
The Gambia,2024.0,,11.73,11.73,323,,,China
Georgia,2024.0,,0.04,0.0,566,,5.0,China
Ghana,2024.0,,11.73,11.73,323,,,China
Guatemala,2024.0,,3.33,3.33,447,,,China
Guinea,2024.0,,11.73,11.73,323,,,China
Guinea-Bissau,2024.0,,11.73,11.73,323,,,China
Guyana,2022.0,35093808.0,10.92,10.92,307,1.0,,China
Haiti,2020.0,,2.67,2.67,275,,,China
Honduras,2024.0,,3.33,3.33,447,,,China
"Hong Kong, China",2025.0,,0.0,0.0,452,,,China
Iceland,2024.0,,0.0,0.0,502,,,China
India,2024.0,,10.39,10.39,634,,,China
Indonesia,2023.0,13556327295.0,6.02,6.02,896,4.0,,China
Israel,2022.0,4161141000.0,3.13,3.13,630,10.0,,China
Japan,2024.0,,0.07,0.03,355,,7.0,China
Jordan,2025.0,,3.87,3.87,463,,,China
Kazakhstan,2023.0,,3.27,3.27,"1,139",1.0,,China
Kenya,2024.0,,12.38,12.38,305,,,China
"Korea, Republic of",2024.0,,4.08,4.08,743,,,China
"Kuwait, the State of",2023.0,,3.22,3.22,384,8.0,,China
Kyrgyz Republic,2020.0,154704058.0,4.28,4.28,712,9.0,,China
Lao People's Democratic Republic,2024.0,,7.42,0.0,896,,896.0,China
Lesotho,2023.0,,5.73,5.73,492,,,China
Liberia,2024.0,,11.73,11.73,323,,,China
"Macao, China",2024.0,,0.0,0.0,431,,,China
Madagascar,2024.0,,11.48,11.48,316,5.0,,China
Malawi,2022.0,,10.2,10.2,461,,,China
Malaysia,2024.0,,4.34,4.34,896,,,China
Maldives,2023.0,,18.0,18.0,484,,,China
Mali,2024.0,,11.73,11.73,323,,,China
Mauritania,2023.0,,12.0,12.0,292,,,China
Mauritius,2024.0,,1.15,0.34,339,,13.0,China
Mexico,2025.0,,4.32,4.32,557,2.0,,China
"Moldova, Republic of",2024.0,,5.62,5.62,500,,,China
Mongolia,2024.0,,4.72,4.72,305,,,China
Montenegro,2024.0,,0.95,0.95,503,,,China
Morocco,2024.0,,9.73,9.73,533,,,China
Myanmar,2024.0,,7.43,7.43,897,,,China
Namibia,2022.0,,5.38,5.38,474,,,China
Nepal,2023.0,,9.46,9.46,330,,,China
New Zealand,2024.0,,1.69,0.0,527,5.0,178.0,China
Nicaragua,2024.0,,3.33,2.31,483,,137.0,China
Niger,2024.0,,11.73,11.73,323,,,China
Nigeria,2024.0,,11.73,11.73,323,,,China
North Macedonia,2025.0,,6.12,6.12,561,,,China
Norway,2024.0,,0.0,0.0,356,,,China
Oman,2024.0,,3.19,3.19,410,6.0,,China
Pakistan,2022.0,2838523432.0,13.15,13.15,498,4.0,,China
Panama,2024.0,,3.72,3.72,523,,,China
Paraguay,2024.0,,5.63,5.63,640,,,China
Peru,2022.0,,1.24,1.24,485,,,China
Philippines,2024.0,,3.12,0.26,896,,445.0,China
Qatar,2024.0,,3.12,3.12,397,8.0,,China
Russian Federation,2021.0,,4.45,4.45,716,10.0,,China
Rwanda,2024.0,,11.31,11.31,305,,,China
Saint Lucia,2021.0,,8.32,8.32,303,,,China
Saint Vincent and the Grenadines,2020.0,,11.61,11.61,336,,,China
Samoa,2021.0,,13.51,13.51,270,,,China
"Saudi Arabia, Kingdom of",2024.0,,4.31,4.31,598,3.0,,China
Senegal,2023.0,,11.76,11.76,323,,,China
Seychelles,2024.0,,0.25,0.25,302,,,China
Sierra Leone,2024.0,,11.73,11.73,323,,,China
Singapore,2024.0,,0.0,0.0,896,,,China
South Africa,2024.0,,5.73,5.73,492,,,China
Sri Lanka,2022.0,,4.53,4.47,373,19.0,31.0,China
Suriname,2024.0,,10.56,10.56,305,1.0,,China
Switzerland,2025.0,,0.0,0.0,296,,,China
Chinese Taipei,2024.0,,3.29,3.18,557,6.0,17.0,China
Tanzania,2024.0,,11.76,11.76,305,,,China
Thailand,2024.0,,5.53,5.53,896,,,China
Togo,2024.0,,11.73,11.73,323,,,China
Tonga,2024.0,,8.6,8.6,271,,,China
Trinidad and Tobago,2023.0,105561608.0,7.35,7.35,304,,,China
Tunisia,2024.0,,21.41,21.41,994,,,China
Turkiye,2024.0,,5.37,5.37,634,17.0,,China
Uganda,2024.0,,12.61,12.61,305,,,China
Ukraine,2025.0,,3.32,3.32,711,,,China
United Arab Emirates,2020.0,17870573797.0,3.23,3.23,356,8.0,,China
United Kingdom,2024.0,,0.83,0.83,500,,,China
United States of America,2024.0,,1.38,1.38,624,,,China
Uruguay,2024.0,,8.79,8.79,731,,,China
Vanuatu,2020.0,,10.14,10.14,279,,,China
"Venezuela, Bolivarian Republic of",2023.0,,12.48,12.48,698,,,China
Viet Nam,2023.0,,8.49,0.96,909,,526.0,China
Zimbabwe,2021.0,,14.55,14.55,313,3.0,,China
